gene	p_condition	p_time	p_time_condition	padj_condition	padj_time	padj_time_condition	classification	trajectory_cluster
GOT2	0.171256076002113	3.42322772728387e-06	0.910444523755434	0.888402866490071	0.000302658596913082	0.956489788386098	Shared dynamics	1
GPATCH4	0.331196406258202	0.000287653100655816	0.163809563632118	0.888402866490071	0.00863201366287775	0.477895160930131	Shared dynamics	4
GPM6A	0.438883652453732	0	0.676663462141508	0.895016852161526	0	0.857237932143982	Shared dynamics	3
GPR107	0.169706024197231	0.00314043850570023	0.340714614274952	0.888402866490071	0.0470546477455216	0.578795544821507	Shared dynamics	1
GPR111	0.542984876964538	0.00105886939742139	0.129256534722224	0.917266252435896	0.0220599509515366	0.446158719913116	Shared dynamics	2
GPR155	0.0160839781901457	0.000278156806681029	0.332243128379669	0.831157518125065	0.00846577956720811	0.569899033944896	Shared dynamics	3
GPR82	0.150793177846772	8.0166571098772e-05	0.0931890814477603	0.888402866490071	0.00341002774399468	0.407481994611111	Shared dynamics	2
GPR85	0.773275556376558	6.19601427890859e-05	0.771977244063769	0.958742349143516	0.00281464801510676	0.897076622926021	Shared dynamics	3
GPS1	0.800403163276909	0.00253835689722781	0.671313523889694	0.965846600951596	0.040409735247832	0.8541511527182	Shared dynamics	1
GRAP	0.650618955290722	0.000316524400922447	0.171716366444537	0.938871192243899	0.00927720011251598	0.485821876754608	Shared dynamics	1
GRASP	0.0753580693313636	8.51353270797661e-05	0.160532255993285	0.888402866490071	0.00356109705051546	0.474951275782112	Shared dynamics	4
GRIA4	0.487029912379721	0.000194907929404131	0.915104295137421	0.905215455292149	0.00648561439740403	0.958607379953464	Shared dynamics	3
GRIPAP1	0.601413613929896	1.31086757211296e-05	0.858914494128319	0.929824819975725	0.000862994540705505	0.932911748699508	Shared dynamics	2
GSDMA	0.795790732985741	8.52696519781926e-07	0.882984138823031	0.964851732473673	9.80876061142693e-05	0.943461720163396	Shared dynamics	3
GSE1	0.754551247804601	0.000138291292609227	0.215413983444879	0.956408964035323	0.00505791537891799	0.519733602817617	Shared dynamics	5
GSN	0.312458710626901	0.000518093515649798	0.80417696559999	0.888402866490071	0.0132597235177549	0.908513186026844	Shared dynamics	4
GSPT1	0.719590729311776	0.000429928637674104	0.520413166824127	0.949454450897177	0.0114840863067105	0.768073402591503	Shared dynamics	6
GTPBP3	0.457330187109041	0.0012123756062179	0.00354470864244405	0.89876636595615	0.0242688338196732	0.127745904475657	Shared dynamics	2
GTPBP4	0.42619189375842	0.000287423263599984	0.0386002801353441	0.891988825086095	0.00863201366287775	0.343946978840339	Shared dynamics	3
GUK1	0.889232684331144	0.000269874753573207	0.00673686772553617	0.982038944665488	0.00827928694822582	0.172388742963565	Shared dynamics	1
GULP1	0.929385298727688	0.00178092263734236	0.90339045313796	0.990659972266163	0.031595871267477	0.953620905586846	Shared dynamics	1
GUSBP2	0.418387208961252	0.00295123816376364	0.831893804257177	0.888402866490071	0.0449867682093043	0.920616521976133	Shared dynamics	1
GYG1	0.270715353488982	0.00253745553235829	0.118945142983039	0.888402866490071	0.040409735247832	0.434979991912928	Shared dynamics	5
HBB	0.421022668807662	6.23009644318273e-07	0.159005806901721	0.890059257876159	8.07873596959623e-05	0.473595756069981	Shared dynamics	3
HCAR1	0.56304471026112	0	0.522009115105937	0.920805978808143	0	0.769155500778639	Shared dynamics	2
HCFC1	0.465852122688415	0.00141753774373121	0.773929775877236	0.900072800989872	0.0272994037487606	0.897861696322472	Shared dynamics	1
HDAC3	0.96161081319162	0.00160126547143163	0.221481017775426	0.994005065448486	0.0295769426612406	0.523823184792435	Shared dynamics	5
HDAC4	0.62691303145459	0.000628708731879313	0.625366596900455	0.93390512614384	0.0153735451740455	0.829668993902052	Shared dynamics	1
